City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,codrington,-38.2667,141.9667,20.06,58,22,6.47,AU,1706671143
1,zilair,52.2332,57.4392,-9.24,95,100,4.21,RU,1706671143
2,ola,59.5833,151.2833,-21.37,82,14,1.99,RU,1706671143
3,crane,31.3974,-102.3501,14.92,38,38,3.37,US,1706671144
4,siwa oasis,29.2041,25.5195,8.88,74,44,4.35,EG,1706671144
5,ilulissat,69.2167,-51.1,-22.99,45,21,2.06,GL,1706671144
6,jamestown,42.097,-79.2353,1.77,91,100,2.57,US,1706671115
7,bayanhongor,46.7167,100.1167,-22.45,81,23,1.08,MN,1706671145
8,sitka,57.0531,-135.33,2.94,52,75,3.6,US,1706671145
9,edinburgh of the seven seas,-37.0676,-12.3116,13.86,57,81,0.8,SH,1706671145
10,hammerfest,70.6634,23.6821,3.25,52,20,24.69,NO,1706671145
11,lubang,13.8584,120.124,26.47,78,98,9.61,PH,1706671146
12,margaret river,-33.95,115.0667,28.05,49,0,4.02,AU,1706671146
13,arno,60.1167,18.6333,1.55,100,100,2.56,SE,1706671146
14,touros,-5.1989,-35.4608,27.16,72,13,5.32,BR,1706671077
15,kiunga,-6.1219,141.2906,30.85,63,97,1.69,PG,1706671147
16,acarau,-2.8856,-40.12,26.44,84,4,3.96,BR,1706671147
17,papatowai,-46.5619,169.4708,18.85,49,80,4.58,NZ,1706671148
18,ust-nera,64.5667,143.2,-29.74,97,100,1.98,RU,1706671148
19,grytviken,-54.2811,-36.5092,2.31,89,96,6.06,GS,1706671148
20,bethel,41.3712,-73.414,1.31,77,100,3.09,US,1706671056
21,ancud,-41.8697,-73.8203,14.18,95,100,2.01,CL,1706671149
22,tolanaro,-25.0319,46.9987,23.37,87,66,4.91,MG,1706671149
23,hithadhoo,-0.6,73.0833,27.46,74,14,1.74,MV,1706671149
24,qaqortoq,60.7167,-46.0333,-14.08,93,100,5.16,GL,1706671149
25,puerto natales,-51.7236,-72.4875,7.23,91,42,2.14,CL,1706671150
26,waitangi,-43.9535,-176.5597,17.68,98,100,1.79,NZ,1706671150
27,brentwood,40.7812,-73.2462,2.27,79,100,5.14,US,1706670593
28,atafu village,-8.5421,-172.5159,29.15,72,15,2.58,TK,1706671150
29,puerto ayora,-0.7393,-90.3518,25.9,84,94,4.08,EC,1706671150
30,albany,42.6001,-73.9662,-0.2,84,100,2.26,US,1706671000
31,barra de santo antonio,-9.4047,-35.5072,24.6,91,0,0.77,BR,1706671151
32,nantucket,41.2835,-70.0995,-0.94,69,100,3.6,US,1706671151
33,jianshui,23.6363,102.8264,16.97,66,83,3.22,CN,1706671151
34,avarua,-21.2078,-159.775,30.03,62,98,3.09,CK,1706671152
35,new amsterdam,6.25,-57.5167,25.36,84,37,2.05,GY,1706671152
36,ushuaia,-54.8,-68.3,8.81,71,20,11.83,AR,1706670908
37,port-aux-francais,-49.35,70.2167,4.02,73,88,13.94,TF,1706671152
38,akureyri,65.6835,-18.0878,-4.04,86,0,4.63,IS,1706671153
39,carutapera,-1.195,-46.02,25.82,87,69,2.56,BR,1706671153
40,beihai,21.4833,109.1,20.18,93,100,7.4,CN,1706671129
41,saraykent,39.6936,35.5111,-3.94,85,83,6.3,TR,1706671153
42,sakaiminato,35.55,133.2333,7.99,76,100,1.03,JP,1706671153
43,christchurch,-43.5333,172.6333,23.63,61,0,10.8,NZ,1706670907
44,chulym,55.0997,80.9572,-20.42,97,99,3.08,RU,1706671154
45,kruisfontein,-34.0033,24.7314,19.38,71,100,3.56,ZA,1706671154
